AccountID,FullName,Industry,AnnualRevenue,Debt,Liabilities,Equity,CreditScore,RiskTier,YearsAsClient,MonthsSinceContact,ProductsHeld
A200096,Meridian Industries,Construction,6457385.43,4687666.24,5730802.02,4075858.25,785,Low Risk,23,11,1
A200097,Redwood Holdings,Finance,2356402.25,2496938.81,2967347.0,1411421.15,742,Low Risk,20,4,8
A200098,Atlas Enterprises,Agriculture,4660970.64,7664310.36,11198764.56,3155487.2,568,High Risk,22,24,1
A200099,Beacon Industries,Construction,3475153.12,1879822.96,2128931.56,805313.53,771,Low Risk,3,23,6
A200100,Frontier Logistics,Energy,2888725.67,1634588.98,2332847.28,1722291.39,610,Medium Risk,10,0,5
A200101,Summit Freight,Construction,4765331.46,1640308.12,2085432.05,1464233.7,524,High Risk,20,5,8
A200102,Cobalt Manufacturing,Logistics,4431935.77,3443883.84,5401025.95,2663538.95,785,Low Risk,21,15,3
A200103,Granite Systems,Manufacturing,12826345.37,9870749.76,14023906.71,10071195.61,749,Low Risk,6,6,1
A200104,Apex Manufacturing,Finance,571097.13,319932.2,487845.05,152907.65,501,High Risk,17,2,2
A200105,Vanguard Capital,Technology,1007466.1,1195152.08,1850928.46,542421.96,519,High Risk,22,5,3
A200106,Cobalt Materials,Logistics,1211585.67,672448.1,925374.56,948125.42,802,Low Risk,12,8,1
A200107,Pioneer Industries,Logistics,3808173.17,1708075.31,2665754.23,1637749.17,582,High Risk,24,8,6
A200108,Stonebridge Holdings,Healthcare,8925224.17,2479071.54,3310017.4,5557518.24,588,High Risk,6,13,2
A200109,Cardinal Systems,Technology,5562710.85,4852930.22,5745660.92,2230519.98,745,Low Risk,7,10,2
A200110,Vanguard Holdings,Healthcare,710207.43,431618.77,651997.09,337316.44,756,Low Risk,24,4,5
A200111,Summit Materials,Energy,449984.39,599343.56,856764.05,343592.19,684,Medium Risk,6,13,4
A200112,Silverpeak Trading,Agriculture,2623419.39,946817.77,1146420.95,637524.58,707,Medium Risk,14,10,8
A200113,Northwind Holdings,Manufacturing,1101120.21,754060.96,1055349.82,520454.71,780,Low Risk,4,3,2
A200114,Meridian Group,Logistics,4436840.28,1678109.9,2433994.71,927739.04,626,Medium Risk,20,13,6
A200115,Atlas Enterprises,Agriculture,1438739.53,225246.82,251447.38,746149.67,702,Medium Risk,13,19,5
A200116,Meridian Solutions,Energy,1390154.9,1373199.93,1580871.96,881045.18,715,Medium Risk,10,13,7
A200117,Summit Trading,Energy,699147.77,951459.23,1241288.04,478148.88,534,High Risk,11,5,1
A200118,Ironclad Group,Healthcare,2992408.49,1694989.7,2088264.87,1220524.47,776,Low Risk,12,17,4
A200119,Meridian Freight,Manufacturing,697046.23,240059.82,325999.64,438703.37,811,Low Risk,7,17,2
A200120,Beacon Freight,Healthcare,1118862.46,1480269.67,1895169.94,782537.23,552,High Risk,5,11,1
A200121,Redwood Solutions,Retail,3159618.87,5619534.2,8713392.27,2368591.29,769,Low Risk,8,4,5
A200122,Atlas Systems,Agriculture,735646.35,244959.32,372186.36,275245.87,590,High Risk,13,0,5
A200123,Stonebridge Solutions,Healthcare,984226.21,1275071.36,1706735.85,676539.09,788,Low Risk,3,22,8
A200124,Cardinal Holdings,Finance,346034.62,273717.03,409885.6,136646.08,515,High Risk,8,14,2
A200125,Redwood Freight,Manufacturing,3720713.72,1180834.31,1431070.72,817146.45,735,Low Risk,13,25,3
A200126,Frontier Enterprises,,1582079.11,1580847.54,2137521.92,1069241.29,714,Medium Risk,17,6,1
A200127,Lakeshore Trading,Manufacturing,2128230.62,1290563.3,1575819.18,564262.86,817,Low Risk,19,17,6
A200128,Blue Harbor Systems,Hospitality,782542.18,330440.51,516043.41,281328.5,629,Medium Risk,9,2,8
A200129,Beacon Solutions,Logistics,2508208.11,773768.13,1065643.16,553413.7,713,Medium Risk,19,1,6
A200130,Summit Industries,Manufacturing,275816.58,133411.66,191219.65,154314.53,728,Low Risk,3,8,8
A200131,Meridian Foods,Logistics,760225.58,371943.77,572066.29,206781.07,642,Medium Risk,17,1,3
A200132,Ironclad Partners,Healthcare,1540245.24,1413294.34,1797467.66,697799.04,508,High Risk,24,19,3
A200133,Beacon Freight,Healthcare,6174612.74,2377816.36,3265254.01,2087965.37,592,High Risk,24,5,2
A200134,Redwood Materials,Retail,1711729.23,2198013.92,3230929.26,1028263.63,519,High Risk,4,4,2
A200135,Meridian Materials,Manufacturing,1023016.77,966079.07,1000521.45,462051.11,631,Medium Risk,16,3,8
A200136,Atlas Industries,Manufacturing,5857790.87,7292817.04,10914910.35,4307821.8,573,High Risk,22,3,7
A200137,Summit Materials,Logistics,,469143.4,573735.07,456018.46,651,Medium Risk,18,20,5
A200138,Meridian Industries,Technology,4767268.84,1165571.26,1351264.87,2608445.88,671,Medium Risk,19,24,7
A200139,Granite Manufacturing,Agriculture,,58107.03,72658.07,86545.42,565,High Risk,18,1,7
A200140,Apex Partners,Hospitality,5610540.82,5688392.85,5965193.88,3175798.91,803,Low Risk,18,11,6
A200141,Northwind Materials,Finance,2446821.33,986602.73,1569132.55,1014741.03,523,High Risk,21,18,8
A200142,Ironclad Materials,Technology,820687.14,493706.42,639203.65,591298.46,719,Medium Risk,10,11,6
A200143,Meridian Industries,Construction,5110013.98,4321676.63,5756753.7,1998570.49,738,Low Risk,14,7,3
A200144,Cardinal Trading,Hospitality,565408.03,911138.32,1005428.33,395187.18,559,High Risk,6,25,4
A200145,Cardinal Enterprises,Energy,953637.42,1138504.31,1368803.45,733021.35,710,Medium Risk,20,6,6
A200146,Cardinal Group,Hospitality,492571.93,236248.68,327224.03,304784.97,659,Medium Risk,20,14,4
A200147,Pioneer Systems,Agriculture,4068458.75,2767773.43,4253312.78,1993970.0,584,High Risk,1,9,8
A200148,Evergreen Group,Technology,,805739.14,1267112.58,1500898.55,759,Low Risk,3,18,6
A200149,Crestline Freight,Energy,,209065.35,333379.82,142548.76,680,Medium Risk,16,4,5
